timestamp,rotation,northRay,northwestRay,northeastRay,eastRay,southRay,westRay,fitness,doorClosed,checkpointMet,distanceFromPlayer,seesKey,mouseRotation,forwardButtonPressed,backButtonPressed,leftButtonPressed,rightButtonPressed,keyButtonPressed
0,,,,,,,,,,,,,,,,,,
0.02,,,,,,,,,,,,False,,,,,,
0.04,,,,,,,,,,,,False,,,,,,
0.06,,,,,,,,,,,,False,,,,,,
0.08,,,,,,,,,,,,False,,,,,,
0.09999999,,,,,,,,,,,,False,,,,,,
0.12,,,,,,,,,,,,False,,,,,,
0.14,,,,,,,,,,,,False,,,,,,
0.16,,,,,,,,,,,,False,,,,,,
0.18,,,,,,,,,,,,False,,,,,,
0.2,,,,,,,,,,,,False,,,,,,
0.22,,,,,,,,,,,,False,,,,,,
0.24,,,,,,,,,,,,False,,,,,,
0.26,,,,,,,,,,,,False,,,,,,
0.28,,,,,,,,,,,,False,,,,,,
0.3,,,,,,,,,,,,False,,,,,,
0.32,,,,,,,,,,,,False,,,,,,
0.34,,,,,,,,,,,,False,,,,,,
0.36,,,,,,,,,,,,False,,,,,,
0.38,,,,,,,,,,,,False,,,,,,
0.4,,,,,,,,,,,,False,,,,,,
0.42,,,,,,,,,,,,False,,,,,,
0.44,,,,,,,,,,,,False,,,,,,
0.46,,,,,,,,,,,,False,,,,,,
0.48,,,,,,,,,,,,False,,,,,,
0.5,,,,,,,,,,,,False,,,,,,
0.52,,,,,,,,,,,,False,,,,,,
0.54,,,,,,,,,,,,False,,,,,,
0.56,,,,,,,,,,,,False,,,,,,
0.58,,,,,,,,,,,,False,,,,,,
0.6,,,,,,,,,,,,False,,,,,,
0.62,,,,,,,,,,,,False,,,,,,
0.64,,,,,,,,,,,,False,,,,,,
0.66,,,,,,,,,,,,False,,,,,,
0.68,,,,,,,,,,,,False,,,,,,
0.7,,,,,,,,,,,,False,,,,,,
0.72,,,,,,,,,,,,False,,,,,,
0.74,,,,,,,,,,,,False,,,,,,
0.76,,,,,,,,,,,,False,,,,,,
0.78,,,,,,,,,,,,False,,,,,,
0.8,,,,,,,,,,,,False,,,,,,
0.82,,,,,,,,,,,,False,,,,,,
0.84,,,,,,,,,,,,False,,,,,,
0.86,,,,,,,,,,,,False,,,,,,
0.88,,,,,,,,,,,,False,,,,,,
0.9,,,,,,,,,,,,False,,,,,,
0.92,,,,,,,,,,,,False,,,,,,
0.94,,,,,,,,,,,,False,,,,,,
0.96,,,,,,,,,,,,False,,,,,,
0.98,,,,,,,,,,,,False,,,,,,
1,,,,,,,,,,,,False,,,,,,
1.02,,,,,,,,,,,,False,,,,,,
1.04,,,,,,,,,,,,False,,,,,,
1.06,,,,,,,,,,,,False,,,,,,
1.08,,,,,,,,,,,,False,,,,,,
1.1,,,,,,,,,,,,False,,,,,,
1.12,,,,,,,,,,,,False,,,,,,
1.14,,,,,,,,,,,,False,,,,,,
1.16,,,,,,,,,,,,False,,,,,,
1.18,,,,,,,,,,,,False,,,,,,
1.2,,,,,,,,,,,,False,,,,,,
1.22,,,,,,,,,,,,False,,,,,,
1.24,,,,,,,,,,,,False,,,,,,
1.26,,,,,,,,,,,,False,,,,,,
1.28,,,,,,,,,,,,False,,,,,,
1.3,,,,,,,,,,,,False,,,,,,
1.32,,,,,,,,,,,,False,,,,,,
1.34,,,,,,,,,,,,False,,,,,,
1.36,,,,,,,,,,,,False,,,,,,
1.38,,,,,,,,,,,,False,,,,,,
1.4,,,,,,,,,,,,False,,,,,,
1.42,,,,,,,,,,,,False,,,,,,
1.44,,,,,,,,,,,,False,,,,,,
1.46,,,,,,,,,,,,False,,,,,,
1.48,,,,,,,,,,,,False,,,,,,
1.5,,,,,,,,,,,,False,,,,,,
1.52,,,,,,,,,,,,False,,,,,,
1.54,,,,,,,,,,,,False,,,,,,
1.56,,,,,,,,,False,0,29.5860272078547,False,0,False,False,False,False,False
1.58,,,,,,,,,False,0,29.5860272078547,False,0,False,False,False,False,False
1.6,,,,,,,,,False,0,29.5860272078547,False,0,False,False,False,False,False
1.62,,,,,,,,,False,0,29.5860272078547,False,0,False,False,False,False,False
1.64,0,72.1108245849609,1.22707784175873,18.188648223877,12.8613061904907,0.867675065994263,13.1386795043945,,False,0,29.5860272078547,False,0,False,False,False,False,False
1.66,0,79.4052429199219,1.22707748413086,18.188648223877,12.8613061904907,0.867674827575684,13.1386795043945,,False,0,29.5860272078547,False,0,False,False,False,False,False
1.68,0,79.4052505493164,1.22707772254944,18.188648223877,12.8613061904907,0.867674946784973,13.1386795043945,,False,0,29.5860272078547,False,0,False,False,False,False,False
1.7,0,79.4052505493164,1.22707772254944,18.188648223877,12.8613061904907,0.867674946784973,13.1386795043945,,False,0,29.5860272078547,False,0,False,False,False,False,False
1.72,0,79.4052505493164,1.22707772254944,18.188648223877,12.8613061904907,0.867674946784973,13.1386795043945,,False,0,29.5860272078547,False,0,False,False,False,False,False
1.74,0,79.4052429199219,1.22707772254944,18.188648223877,12.8613061904907,0.867674946784973,13.1386795043945,,False,0,29.5860272078547,False,0,False,False,False,False,False
1.76,0,79.4052505493164,1.22707772254944,18.188648223877,12.8613061904907,0.867674946784973,13.1386795043945,,False,0,29.5860272078547,False,0,False,False,False,False,False
1.78,0,79.4052505493164,1.22707772254944,18.188648223877,12.8613061904907,0.867674946784973,13.1386795043945,,False,0,29.5860272078547,False,0,False,False,False,False,False
1.8,0,79.4052505493164,1.2270770072937,18.188648223877,12.8613061904907,0.867674469947815,13.1386795043945,,False,0,29.5860272078547,False,0,False,False,False,False,False
